comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
253,Schmeicheletal.(2003),2,sadness,S1,Cont1,suppression,response_modulation,linear,18.0,19.0,37.0,-0.23,1.35,,0.56,2,0.3353,0.112425
254,Schmeicheletal.(2008),2,amusement,S1,Cont4,suppression,response_modulation,linear,25.0,25.0,50.0,0.1,2.59,,1.345,2,0.3132,0.09809
255,Schmeicheletal.(2008),3,disgust,R3,Cont4,reappraisal,cognitive_change,network,35.0,36.0,71.0,0.48,0.71,,0.595,2,0.2426,0.058842
256,Sears&Kraus(2009),1,none,R1,Cont1,reappraisal,cognitive_change,network,19.0,10.0,29.0,0.69,,,0.69,1,0.401,0.16084
257,Shamosh&Gray(2007),1,sadness,S4,Cont1,suppression,response_modulation,linear,28.0,29.0,57.0,0.0,0.71,,0.355,2,0.267,0.071303
258,Shapiroetal.(1998),1,none,R1,Cont1,reappraisal,cognitive_change,network,37.0,41.0,78.0,0.5,,,0.5,1,0.2303,0.05302
259,Sheppes&Meiran(2007),1,sadness,R3,Cont4,reappraisal,cognitive_change,network,30.0,30.0,60.0,1.33,,,1.33,1,0.2853,0.081407
260,Sheppes&Meiran(2007),1,sadness,D3,Cont4,distraction,attentional_deployment,linear,30.0,30.0,60.0,0.81,,,0.81,1,0.2686,0.072134
261,Sheppes&Meiran(2007),2,sadness,R3,Cont4,reappraisal,cognitive_change,network,40.0,20.0,60.0,1.75,,,1.75,1,0.3171,0.100521
262,Sheppes&Meiran(2007),2,sadness,D3,Cont4,distraction,attentional_deployment,linear,20.0,20.0,40.0,1.83,,,1.83,1,0.3766,0.141861
263,Sheppes&Meiran(2008),1,sadness,R3,D3,reappraisal,cognitive_change,network,23.0,22.0,45.0,0.0,,,0.0,1,0.2982,0.088933
264,Sheppesetal.(2009),1,sadness,R3,Cont5,reappraisal,cognitive_change,network,15.0,14.0,29.0,1.08,-0.63,,0.225,2,0.3728,0.138968
265,Sheppesetal.(2009),1,sadness,D3,Cont5,distraction,attentional_deployment,linear,15.0,14.0,29.0,0.79,0.17,,0.48,2,0.3769,0.142068
266,Shiota&Levenson(2009),1,disgust,S1,Cont4,suppression,response_modulation,linear,144.0,,144.0,0.25,0.58,,0.415,2,0.1204,0.014487
267,Shiota&Levenson(2009),1,negative_affect,R2,Cont4,reappraisal,cognitive_change,network,76.0,,76.0,0.09,0.07,,0.08,2,0.1624,0.026358
268,Shiota&Levenson(2009),1,negative_affect,R3,Cont4,reappraisal,cognitive_change,network,68.0,,68.0,0.39,0.27,,0.33,2,0.1738,0.030212
269,Smythetal.(2001),1,negative_affect,C1,C3,concentration,attentional_deployment,dot,39.0,39.0,78.0,0.07,,,0.07,1,0.2265,0.051313
270,Takagi&Ohira(2004),1,negative_affect,S3,C1,suppression,response_modulation,linear,8.0,8.0,16.0,0.49,,,0.49,1,0.5074,0.257503
271,Trask&Sigmon(1999),1,negative_affect,D4,C2,distraction,attentional_deployment,linear,38.0,,38.0,0.51,,,0.51,1,0.2368,0.056054
272,Urry(2001),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,20.0,20.0,40.0,1.64,-0.2,,0.72,2,0.3263,0.10648
273,Urry(2001),1,disgust,S1,Cont1,suppression,response_modulation,linear,20.0,20.0,40.0,0.81,0.03,,0.42,2,0.3197,0.102205
274,Urry(2009),1,negative_affect,R2,Cont2,reappraisal,cognitive_change,network,41.0,,41.0,0.34,-0.01,,0.165,2,0.2216,0.049113
275,Urry(2010),1,negative_affect,R2,Cont4,reappraisal,cognitive_change,network,54.0,,54.0,0.29,0.1,,0.195,2,0.1934,0.037389
276,Urryetal.(2009),1,negative_affect,R2,Cont3,reappraisal,cognitive_change,network,26.0,,26.0,0.47,,,0.47,1,0.2849,0.081171
277,VanDillen&Koole(2007),1,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,38.0,,38.0,0.62,,,0.62,1,0.2402,0.057689
278,VanDillen&Koole(2007),3,negative_affect,D4,Cont1,distraction,attentional_deployment,linear,40.0,,40.0,0.26,,,0.26,1,0.2255,0.050845
279,Vassilopoulos(2005),1,anxiety,D4,C3,distraction,attentional_deployment,linear,40.0,40.0,80.0,1.06,,,1.06,1,0.2388,0.057023
280,Vassilopoulos(2008),1,none,C1,C2,concentration,attentional_deployment,dot,14.0,15.0,29.0,-0.2,,,-0.2,1,0.3725,0.138785
